Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-30,245.533,246.18,244.302,244.558,2976300,0.0,0.0
2018-08-31,244.457,245.305,243.473,244.621,2961500,0.0,0.0
2018-09-04,244.202,245.487,242.899,244.667,2097300,0.0,0.0
2018-09-05,244.712,244.931,243.227,243.874,2230600,0.0,0.0
2018-09-06,244.66,246.873,244.057,246.535,2556100,0.9,0.0
2018-09-07,246.526,247.915,244.578,245.282,2958000,0.0,0.0
2018-09-10,243.911,243.929,236.569,237.465,4146200,0.0,0.0
2018-09-11,235.81,239.01,235.408,238.663,2283300,0.0,0.0
2018-09-12,238.736,241.817,238.489,240.153,2236300,0.0,0.0
2018-09-13,241.515,242.914,240.839,242.731,2734500,0.0,0.0
2018-09-14,242.649,243.792,240.711,242.567,2084600,0.0,0.0
2018-09-17,243.655,243.801,240.83,241.25,1940400,0.0,0.0
2018-09-18,240.391,241.451,239.54,240.72,3557000,0.0,0.0
2018-09-19,241.799,242.841,240.601,242.585,2274300,0.0,0.0
2018-09-20,243.271,244.971,243.252,243.554,2095000,0.0,0.0
2018-09-21,243.289,244.88,243.06,243.81,5671600,0.0,0.0
2018-09-24,244.121,246.425,243.81,244.441,2699800,0.0,0.0
2018-09-25,244.386,244.414,240.482,240.921,3789700,0.0,0.0
2018-09-26,241.826,242.731,239.952,240.373,2238000,0.0,0.0
2018-09-27,240.455,242.658,240.391,241.963,2761400,0.0,0.0
2018-09-28,241.717,243.371,241.232,243.234,2875100,0.0,0.0
2018-10-01,244.34,246.873,244.13,246.032,3314500,0.0,0.0
2018-10-02,245.94,248.171,244.569,247.431,2777300,0.0,0.0
2018-10-03,248.683,248.747,246.644,247.678,3002200,0.0,0.0
2018-10-04,247.769,248.336,244.395,245.319,2186600,0.0,0.0
2018-10-05,245.62,247.769,244.98,246.123,2045700,0.0,0.0
2018-10-08,245.794,246.535,242.878,245.95,1865000,0.0,0.0
2018-10-09,246.114,248.647,245.456,246.955,2510100,0.0,0.0
2018-10-10,247.403,248.153,240.016,240.528,4267300,0.0,0.0
2018-10-11,239.541,241.735,233.854,235.079,4558500,0.0,0.0
2018-10-12,237.438,238.983,234.841,237.355,4006300,0.0,0.0
2018-10-15,237.831,239.943,237.081,237.941,3583400,0.0,0.0
2018-10-16,246.571,249.424,242.283,249.204,6453600,0.0,0.0
2018-10-17,247.028,247.769,242.859,244.386,3985100,0.0,0.0
2018-10-18,244.432,244.916,241.104,243.938,3132100,0.0,0.0
2018-10-19,243.764,245.008,241.268,242.558,3336600,0.0,0.0
2018-10-22,243.883,243.956,237.767,239.714,2618100,0.0,0.0
2018-10-23,237.456,242.759,236.981,242.155,4081800,0.0,0.0
2018-10-24,241.378,242.585,233.991,234.347,5265600,0.0,0.0
2018-10-25,236.03,242.448,231.65,241.589,4675600,0.0,0.0
2018-10-26,239.083,239.906,234.987,236.048,4830600,0.0,0.0
2018-10-29,237.456,239.577,231.605,234.53,3697700,0.0,0.0
2018-10-30,234.686,237.429,232.208,236.139,4169200,0.0,0.0
2018-10-31,238.507,241.433,237.913,238.946,4230200,0.0,0.0
2018-11-01,240.382,241.991,237.493,238.562,2771300,0.0,0.0
2018-11-02,241.927,243.545,237.31,238.635,2593600,0.0,0.0
2018-11-05,239.678,240.455,237.776,238.635,3287000,0.0,0.0
2018-11-06,238.352,241.378,238.352,240.948,2582400,0.0,0.0
2018-11-07,244.02,253.026,244.02,251.088,5796800,0.0,0.0
2018-11-08,252.34,254.169,251.152,252.935,3809100,0.0,0.0
2018-11-09,253.127,254.169,250.686,252.843,2904300,0.0,0.0
2018-11-12,252.34,253.977,248.683,249.031,3140600,0.0,0.0
2018-11-13,249.214,250.146,245.154,246.142,2516900,0.0,0.0
2018-11-14,246.206,247.33,240.775,242.247,3511900,0.0,0.0
2018-11-15,241.369,243.124,238.489,242.228,3657600,0.0,0.0
2018-11-16,242.274,248.5,242.21,247.87,3857800,0.0,0.0
2018-11-19,248.208,248.93,241.534,243.243,3670800,0.0,0.0
2018-11-20,242.85,243.911,238.078,239.083,3617700,0.0,0.0
2018-11-21,240.08,241.945,238.123,238.215,3234300,0.0,0.0
2018-11-23,237.712,240.4,236.139,239.193,1159300,0.0,0.0
2018-11-26,241.936,245.3,240.912,243.344,3879800,0.0,0.0
2018-11-27,242.804,248.043,242.311,247.906,3497300,0.0,0.0
2018-11-28,249.433,258.192,249.433,256.866,5044300,0.0,0.0
2018-11-29,256.391,260.98,256.281,258.329,4177800,0.0,0.0
2018-11-30,259.558,260.154,255.963,258.063,6143200,0.9,0.0
2018-12-03,259.567,262.805,259.301,262.621,4178800,0.0,0.0
2018-12-04,262.456,264.098,253.981,255.486,4635500,0.0,0.0
2018-12-06,250.413,254.009,243.287,253.926,6694600,0.0,0.0
2018-12-07,251.092,253.532,245.149,246.891,3506900,0.0,0.0
2018-12-10,246.35,246.726,238.682,244.461,4061300,0.0,0.0
2018-12-11,247.258,249.047,243.672,245.094,3102800,0.0,0.0
2018-12-12,249.432,251.826,248.093,248.231,3167900,0.0,0.0
2018-12-13,248.432,250.689,247.295,249.616,2350400,0.0,0.0
2018-12-14,247.974,248.166,241.874,243.076,3360500,0.0,0.0
2018-12-17,239.425,240.994,235.472,236.701,5806800,0.0,0.0
2018-12-18,238.196,238.462,227.649,232.024,5065500,0.0,0.0
2018-12-19,231.473,235.316,227.089,229.584,5468500,0.0,0.0
2018-12-20,227.924,228.392,220.173,222.366,7311700,0.0,0.0
2018-12-21,220.797,227.007,217.789,218.605,12209700,0.0,0.0
2018-12-24,216.679,218.201,213.304,213.652,3091000,0.0,0.0
2018-12-26,213.432,223.219,212.616,223.2,4159300,0.0,0.0
2018-12-27,219.302,225.603,215.762,225.603,4295800,0.0,0.0
2018-12-28,226.282,229.107,224.539,225.851,3312700,0.0,0.0
2018-12-31,227.52,229.556,226.493,228.492,3123200,0.0,0.0
2019-01-02,224.714,225.952,221.476,223.329,4063600,0.0,0.0
2019-01-03,223.319,223.319,216.578,217.238,4623200,0.0,0.0
2019-01-04,219.944,223.301,219.027,219.779,5367600,0.0,0.0
2019-01-07,220.494,221.944,218.504,220.201,4133000,0.0,0.0
2019-01-08,222.265,224.521,219.862,223.145,3618600,0.0,0.0
2019-01-09,224.493,226.209,222.017,223.466,3425400,0.0,0.0
2019-01-10,222.035,224.842,221.421,224.594,3374100,0.0,0.0
2019-01-11,223.292,227.245,223.127,227.163,3967100,0.0,0.0
2019-01-14,226.172,229.226,225.732,227.52,4955500,0.0,0.0
2019-01-15,229.3,235.647,226.548,235.601,5325600,0.0,0.0
2019-01-16,237.307,240.48,236.793,239.811,6069400,0.0,0.0
2019-01-17,239.38,240.068,236.536,238.261,3583600,0.0,0.0
2019-01-18,240.856,244.213,238.857,243.516,4844800,0.0,0.0
2019-01-22,242.195,245.351,241.902,243.69,4052700,0.0,0.0
2019-01-23,245.58,247.157,241.838,244.91,2971100,0.0,0.0
2019-01-24,244.709,245.956,242.379,244.094,2927300,0.0,0.0
2019-01-25,246.543,248.02,243.7,245.855,2809100,0.0,0.0
2019-01-28,244.8,244.828,242.7,244.681,2837300,0.0,0.0
2019-01-29,243.975,246.222,243.461,245.204,2173000,0.0,0.0
2019-01-30,247.359,249.882,245.066,247.983,3659000,0.0,0.0
2019-01-31,248.084,249.239,246.717,247.827,4055100,0.0,0.0
2019-02-01,246.24,247.084,244.002,246.469,3946800,0.0,0.0
2019-02-04,246.094,246.442,242.388,246.002,3398900,0.0,0.0
2019-02-05,247.754,249.56,243.828,244.259,3597000,0.0,0.0
2019-02-06,243.186,247.579,243.039,247.185,2570000,0.0,0.0
2019-02-07,246.396,248.176,245.13,246.726,2458200,0.0,0.0
2019-02-08,245.351,246.451,238.765,240.214,4547000,0.0,0.0
2019-02-11,239.545,239.554,235.115,235.848,4856200,0.0,0.0
2019-02-12,237.756,242.14,235.647,241.682,4327900,0.0,0.0
2019-02-13,241.7,244.241,241.361,241.957,3066400,0.0,0.0
2019-02-14,241.443,244.956,240.957,243.36,3015300,0.0,0.0
2019-02-15,245.617,248.68,244.543,248.68,3673700,0.0,0.0
2019-02-19,248.717,249.927,246.983,248.02,2486700,0.0,0.0
2019-02-20,246.919,248.185,245.974,247.194,2802800,0.0,0.0
2019-02-21,247.157,247.588,243.149,244.342,2554300,0.0,0.0
2019-02-22,244.433,246.167,243.929,244.993,3191100,0.0,0.0
2019-02-25,245.424,245.965,242.489,242.691,3679100,0.0,0.0
2019-02-26,242.746,243.452,241.04,241.205,3212900,0.0,0.0
2019-02-27,239.948,239.948,228.327,229.373,8952900,0.0,0.0
2019-02-28,229.024,231.088,219.348,222.164,11034300,0.0,0.0
2019-03-01,223.393,227.465,223.393,225.768,6921300,0.0,0.0
2019-03-04,227.575,227.878,215.092,216.477,8646300,0.0,0.0
2019-03-05,216.945,223.063,215.487,221.439,6924500,0.0,0.0
2019-03-06,221.723,221.723,217.403,219.275,4878700,0.0,0.0
2019-03-07,220.403,221.21,216.046,217.101,5033500,0.0,0.0
2019-03-08,216.502,220.425,216.033,218.473,4921700,0.9,0.0
2019-03-11,220.24,224.669,217.672,223.868,4539600,0.0,0.0
2019-03-12,225.525,227.855,224.411,226.382,4235800,0.0,0.0
2019-03-13,228.297,232.716,227.486,232.246,4881600,0.0,0.0
2019-03-14,232.937,234.834,232.329,233.185,3865200,0.0,0.0
2019-03-15,234.171,234.539,230.12,231.464,6466200,0.0,0.0
2019-03-18,232.624,235.064,230.561,234.778,3927400,0.0,0.0
2019-03-19,235.653,238.691,234.907,236.739,4164800,0.0,0.0
2019-03-20,237.016,237.255,230.147,230.635,4193500,0.0,0.0
2019-03-21,229.429,232.9,228.941,232.035,2699700,0.0,0.0
2019-03-22,230.7,231.28,227.403,227.495,3777900,0.0,0.0
2019-03-25,227.799,227.799,221.686,227.284,4110900,0.0,0.0
2019-03-26,227.652,228.232,222.551,224.089,4416200,0.0,0.0
2019-03-27,223.675,226.197,219.274,222.542,4819200,0.0,0.0
2019-03-28,223.352,223.592,219.946,223.021,3601500,0.0,0.0
2019-03-29,224.918,228.112,222.689,227.652,4294200,0.0,0.0
2019-04-01,229.908,230.359,223.785,226.068,4809500,0.0,0.0
2019-04-02,226.041,226.86,223.546,225.028,4057100,0.0,0.0
2019-04-03,226.777,227.91,225.194,226.345,2851400,0.0,0.0
2019-04-04,226.013,229.355,225.24,227.772,2255500,0.0,0.0
2019-04-05,229.208,229.539,225.728,229.051,3343000,0.0,0.0
2019-04-08,229.88,229.88,226.777,229.024,2195400,0.0,0.0
2019-04-09,227.937,230.12,226.446,229.061,2903800,0.0,0.0
2019-04-10,229.051,230.055,226.05,226.52,2753700,0.0,0.0
2019-04-11,226.538,227.339,214.228,216.751,8223400,0.0,0.0
2019-04-12,217.745,218.003,203.263,205.518,13979400,0.0,0.0
2019-04-15,207.866,212.654,206.614,211.945,10021800,0.0,0.0
2019-04-16,219.136,219.136,198.705,203.438,27361400,0.0,0.0
2019-04-17,206.043,206.458,191.57,199.644,22101400,0.0,0.0
2019-04-18,199.921,205.316,197.223,204.165,13927200,0.0,0.0
2019-04-22,206.237,209.514,203.935,209.1,11191800,0.0,0.0
2019-04-23,210.15,213.547,208.17,212.295,10261400,0.0,0.0
2019-04-24,211.844,213.262,209.689,212.083,6104100,0.0,0.0
2019-04-25,210.407,213.713,210.039,212.488,5954500,0.0,0.0
2019-04-26,213.731,218.307,212.856,218.206,6186200,0.0,0.0
2019-04-29,218.574,219.182,215.591,218.62,5345300,0.0,0.0
2019-04-30,219.2,219.2,211.936,214.587,7632300,0.0,0.0
2019-05-01,214.587,216.014,212.083,213.556,4823200,0.0,0.0
